muzzie,179
papists,45
Zionazi,39
camel fucker,36
Jihadi,33
hymie,27
heeb,24
muzzies,21
muzzy,17
Zionazis,15
heebs,13
globalists,12
Christ killer,10
higgers,10
oven dodger,9
Christ killers,8
sand monkeys,7
hebro,6
soup taker ,6
holohoax,5
khazar,4
higger,4
pisslam,4
soup takers,4
papist,4
mussies,4
camel fuckers,3
hebes,3
ziojews,3
hebros,3
clamheads,3
Fenians,3
sand monkey,3
Fenian,3
Orangies,3
muzzrat,2
muslamic,2
muzzrats,2
dogans,2
hooknose,2
carrot snappers,2
kike,1
Gerudos,1
khazars,1
hooknosed,1
durka durka,1
proddy dogs,1
proddy dog,1
Zio,1
mussie,1
derka derka,1
hooknoses,1
gews,1
musla,1
oven dodgers,1
mackerel snappers,1
